rt,coh,choice,c
0.398377637181956,-0.512,0,1
0.405073839310771,-0.512,0,1
0.399879818180173,-0.512,0,1
0.39921309221423,-0.512,0,1
0.436939523385596,-0.512,0,1
0.400898109925383,-0.512,0,1
0.352431017741729,-0.512,0,1
0.399615719099468,-0.512,0,1
0.409696361696535,-0.512,0,1
0.40203927613501,-0.512,0,1
0.434755432169246,-0.512,0,1
0.404321151645465,-0.512,0,1
0.382593755290208,-0.512,0,1
0.450266667860411,-0.512,0,1
0.381654795641397,-0.512,0,1
0.39342717155117,-0.512,0,1
0.381125973300531,-0.512,0,1
0.398217009880254,-0.512,0,1
0.439592658633632,-0.512,0,1
0.398153423865318,-0.512,0,1
0.398722404720332,-0.512,0,1
0.426065154623243,-0.512,0,1
0.409026139596548,-0.512,0,1
0.414816277714068,-0.512,0,1
0.4208959709428,-0.512,0,1
0.384996808589928,-0.512,0,1
0.406378600069542,-0.512,0,1
0.38105041589061,-0.512,0,1
0.40521029398318,-0.512,0,1
0.394117556202868,-0.512,0,1
0.396777701663447,-0.512,0,1
0.428044010884521,-0.512,0,1
0.395947706395096,-0.512,0,1
0.414075422359593,-0.512,0,1
0.415551123438917,-0.512,0,1
0.385185769178484,-0.512,0,1
0.395720308388432,-0.512,0,1
0.413291743904322,-0.512,0,1
0.42317330862795,-0.512,0,1
0.436228087637374,-0.512,0,1
0.371584404180359,-0.512,0,1
0.383417757066096,-0.512,0,1
0.367935262436726,-0.512,0,1
0.426642848417481,-0.512,0,1
0.417902002301057,-0.512,0,1
0.388897727675616,-0.512,0,1
0.361621011210568,-0.512,0,1
0.401177492015223,-0.512,0,1
0.382567454644379,-0.512,0,1
0.405148449293936,-0.512,0,1
0.414112641553757,-0.512,0,1
0.383822133253287,-0.512,0,1
0.393145857087276,-0.512,0,1
0.381485065344815,-0.512,0,1
0.420400508404871,-0.512,0,1
0.449599812116879,-0.512,0,1
0.399700406076544,-0.512,0,1
0.393788922296771,-0.512,0,1
0.383180063082953,-0.512,0,1
0.410977738654183,-0.512,0,1
0.428701094410302,-0.512,0,1
0.457530162959927,-0.512,0,1
0.440773832308394,-0.512,0,1
0.418838863068159,-0.512,0,1
0.455197990588166,-0.512,0,1
0.436081006552361,-0.512,0,1
0.375489101813302,-0.512,0,1
0.422861156091709,-0.512,0,1
0.411011657593378,-0.512,0,1
0.404377936391832,-0.512,0,1
0.413387516830791,-0.512,0,1
0.401718105941474,-0.512,0,1
0.366381160496805,-0.512,0,1
0.401606806893103,-0.512,0,1
0.418372274727823,-0.512,0,1
0.427622809682353,-0.512,0,1
0.42022300138609,-0.512,0,1
0.406791973472771,-0.512,0,1
0.350200397757522,-0.512,0,1
0.393022421043361,-0.512,0,1
0.399505615506663,-0.512,0,1
0.452444552148056,-0.512,0,1
0.409769342579659,-0.512,0,1
0.384341726265579,-0.512,0,1
0.401829589071155,-0.512,0,1
0.427267262975912,-0.512,0,1
0.41077400077852,-0.512,0,1
0.403253946378817,-0.512,0,1
0.393751171275778,-0.512,0,1
0.403715327312784,-0.512,0,1
